username,first_name,last_name,email,user_type,phone_number,supervisor_username,is_active
ravi.reddy26,Ravi,Sharma,ravi.reddy26@infilect.com,2,+919337895374,,True
priya.sharma40,Priya,Sharma,priya.sharma40@infilect.com,7,+918182797452,,True
amit.sharma4,Amit,Reddy,amit.sharma4@infilect.com,1,+917717708465,,True
neha.sharma6,Neha,Nair,neha.sharma6@infilect.com,7,+919301233391,,True
suresh.sharma25,Suresh,Nair,suresh.sharma25@infilect.com,1,+917299363448,neha.sharma6,True
deepa.kumar85,Deepa,Kumar,deepa.kumar85@infilect.com,7,+918889789908,,True
vikas.kumar70,Vikas,Patel,vikas.kumar70@infilect.com,1,+919321169012,deepa.kumar85,True
neha.sharma6,Anita,Patel,anita.singh56@infilect.com,3,+917350127796,,True
rahul.patel26,Rahul,Nair,rahul.patel26@infilect.com,3,+919076392550,,True
pooja.reddy26,Pooja,Reddy,pooja.reddy26@infilect.com,7,+918482321831,,True
kiran.singh52,Kiran,Nair,kiran.singh52@infilect.com,2,+917423802582,,True
meena.sharma46,Meena,Gupta,meena.sharma46@infilect.com,1,+919376737876,deepa.kumar85,True
arjun.kumar2,Arjun,Singh,arjun.kumar2@infilect.com,99,+917599983416,meena.sharma46,True
swati.kumar77,Swati,Reddy,swati.kumar77@infilect.com,7,+918380720433,,True
rohit.sharma58,Rohit,Kumar,rohit.sharma58@infilect.com,2,+918385105631,,True
kavita.reddy32,Kavita,Sharma,kavita.reddy32@infilect.com,7,+918929556852,,True
nikhil.kumar51,Nikhil,Reddy,nikhil.kumar51@infilect.com,1,+91ABC1234567,amit.sharma4,True
sunita.reddy64,Sunita,Singh,sunita.reddy64@infilect.com,1,+919761404835,swati.kumar77,True
manoj.singh4,Manoj,Singh,manoj.singh4@infilect.com,1,+918945691694,anita.singh56,True
divya.sharma81,Divya,Patel,divya.sharma81@infilect.com,2,+918404057831,,True
sanjay.reddy92,Sanjay,Nair,sanjay.reddy92@infilect.com,3,+918203312721,ghost.user42,True
rekha.patel44,Rekha,Kumar,rekha.patel44@infilect.com,7,+917752233022,,True
vijay.kumar96,Vijay,Singh,vijay.kumar96@infilect.com,2,+917976914582,,True
lata.reddy85,Lata,Singh,lata.reddy85@infilect.com,1,+917310589305,meena.sharma46,True
,Ajay,Singh,ajay.sharma79@infilect.com,2,+917872527806,,True
geeta.singh81,Geeta,Sharma,geeta.singh81@infilect.com,1,+919942254093,ravi.reddy26,True
prakash.patel68,Prakash,Gupta,prakash.patel68@infilect.com,3,+917112706137,,True
rita.sharma21,Rita,Patel,not-an-email,7,+919991362007,,True
mohan.reddy38,Mohan,Reddy,mohan.reddy38@infilect.com,2,+918995129863,,True
seema.singh46,Seema,Sharma,seema.singh46@infilect.com,7,+917379508254,,True
